"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.015492083E-1,1.837785142E0,1.677110088E-1,2.817080328E0,3.367717741E0
6.115062083E-1,1.945495971E0,2.504660672E-1,2.443833842E0,3.133689785E0
6.214642083E-1,1.837693341E0,-1.218091965E-1,1.370969757E0,2.295977432E0
6.314212083E-1,-6.439693549E-1,-5.565911955E-1,-2.812062247E0,2.938057925E0
6.413782083E-1,2.294951744E-2,-6.598471767E-1,-2.259912597E0,2.354385254E0
6.513362083E-1,-1.083225936E-2,-3.929211974E-1,-3.117062956E0,3.141748857E0
6.612932083E-1,-6.997528886E-1,-8.949514389E-1,-2.127234011E0,2.411579715E0
6.712512083E-1,-1.364197073E-1,-1.032897781E0,-1.845659587E0,2.119421495E0
6.812082083E-1,-1.767959008E-1,2.204809606E-1,-1.606965719E0,1.631627245E0
6.911662083E-1,-1.534816633E-1,1.528249918E0,-6.501717889E-1,1.667881227E0
7.011232083E-1,-3.589353528E-1,1.673117609E0,3.959290051E-1,1.756393150E0
7.110812083E-1,-6.767147858E-1,2.036319748E0,2.272774132E0,3.125706844E0
7.210382083E-1,-4.602936932E-1,2.556927763E0,3.973067261E0,4.747105785E0
7.309962083E-1,2.973188560E-1,2.230354922E0,3.973076617E0,4.565985039E0
7.409532083E-1,1.033954885E0,8.466668862E-1,2.759176521E0,3.065772756E0
7.509112083E-1,1.072193555E0,2.242108995E-1,9.678352278E-1,1.461702629E0
7.608682083E-1,1.144350609E0,1.125629944E-1,-5.497400129E-1,1.274528472E0
7.708262083E-1,1.327346020E0,6.666761398E-2,-1.455173171E0,1.970741227E0
7.807832083E-1,7.063606077E-1,-6.246808523E-1,-1.745050056E0,1.983524936E0
7.907412083E-1,-2.003001729E-1,-3.838726312E-1,-1.990041375E0,2.036600852E0
8.006982083E-1,-1.284313144E0,5.625079930E-1,-1.933471903E0,2.388344425E0
8.106562083E-1,-2.245306545E0,7.403259140E-1,-1.877324014E0,3.018911955E0
8.206132083E-1,-2.117477347E0,1.784722245E-1,-1.918819365E0,2.863115507E0
8.305712083E-1,-1.823843626E0,5.292078075E-1,-1.486144118E0,2.411449940E0
8.405282083E-1,-2.146585371E0,9.777813417E-1,2.301627803E-1,2.369991564E0
8.504862083E-1,-1.942340375E0,4.614254218E-1,1.814059480E0,2.697482409E0
8.604432083E-1,-2.449528445E0,2.352597982E-2,2.117215100E0,3.237799075E0
8.704002083E-1,-4.077007951E0,4.532492602E-1,1.489783717E0,4.364273622E0
8.803582083E-1,-4.460238558E0,8.120618945E-1,5.805168325E-1,4.570576803E0
8.903152083E-1,-3.379251521E0,2.246140650E-1,5.264100610E-1,3.427375071E0
9.002732083E-1,-1.457911422E0,4.244977699E-1,1.887945628E0,2.422817113E0
9.102302083E-1,7.983443266E-1,1.361819741E0,4.072587456E0,4.367822714E0
9.201882083E-1,3.014244931E0,1.514998958E0,5.339441691E0,6.315895180E0
9.301452083E-1,3.855052323E0,1.352772052E0,4.971897994E0,6.435152702E0
9.401032083E-1,3.180728025E0,1.210290390E0,3.147612319E0,4.635654960E0
