"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.224441240E-1,-1.178652048E-2,7.666528225E-3,3.952026367E-3,1.460534945E-2
3.273549570E-1,-6.945606321E-3,2.811312675E-3,1.800918579E-2,1.950578629E-2
3.322649570E-1,-9.188454598E-3,4.494786263E-4,1.300716400E-2,1.593160520E-2
3.371758420E-1,-1.975674182E-3,7.547736168E-3,-3.688812256E-3,8.630118516E-3
3.420874570E-1,3.477968276E-4,-6.727695465E-3,5.792617798E-3,8.884664870E-3
3.469982900E-1,-4.376467317E-3,-1.606845856E-2,3.344535828E-3,1.698631056E-2
3.519082900E-1,-2.015866339E-3,-6.411314011E-3,-3.781318665E-3,7.711487229E-3
3.568191760E-1,-9.122803807E-3,5.455791950E-3,9.908676147E-4,1.067581537E-2
3.617307900E-1,-4.388939589E-3,-4.078447819E-3,-1.553535461E-2,1.665063874E-2
3.666416240E-1,2.743490040E-4,1.017403603E-2,-1.152038574E-3,1.024272763E-2
3.715516240E-1,2.565722913E-3,-1.730978489E-3,-5.851745605E-3,6.619829849E-3
3.764625090E-1,-1.163215935E-2,-1.667082310E-3,-1.046180725E-3,1.179749078E-2
3.813741240E-1,7.409226149E-3,7.562041283E-4,-5.748748779E-3,9.408325533E-3
3.862849570E-1,4.940010607E-3,1.258933544E-2,3.777503967E-3,1.404153154E-2
3.911949570E-1,-2.217039466E-3,-6.492674351E-3,8.446693420E-3,1.088194440E-2
3.961058420E-1,-1.169817150E-2,-1.700580120E-3,1.069259644E-2,1.593959873E-2
4.010174570E-1,2.045258880E-4,-6.421446800E-3,8.185386658E-3,1.040564100E-2
4.059282900E-1,-4.587501287E-3,7.902979851E-4,-1.371383667E-3,4.852878747E-3
4.108382900E-1,2.496939152E-3,3.182470798E-3,1.046466827E-2,1.121927393E-2
4.157491760E-1,-2.326045185E-3,-8.694589138E-3,3.238677979E-3,9.565322866E-3
4.206607900E-1,4.906743765E-3,-1.512289047E-3,-8.623123169E-3,1.003600547E-2
4.255716240E-1,9.509555995E-3,1.042568684E-2,-1.323699951E-2,1.934799104E-2
4.304816240E-1,9.386681020E-3,-1.486182213E-3,-3.613471985E-3,1.016738403E-2
4.353925090E-1,9.208001196E-3,5.724847317E-3,1.167297363E-3,1.090521646E-2
4.403041240E-1,1.140170544E-2,-3.765881062E-3,5.885124207E-3,1.337218883E-2
4.452149570E-1,-6.262585521E-4,9.909868240E-4,3.447532654E-3,3.641392050E-3
4.501249050E-1,-3.049045801E-3,-1.347064972E-3,5.774497986E-3,6.667540125E-3
4.550358420E-1,1.348598301E-2,-1.075696945E-2,1.517391205E-2,2.297458893E-2
4.599474570E-1,1.492578536E-3,8.280098438E-3,1.026630402E-2,1.327346296E-2
4.648582900E-1,-1.988705620E-2,5.858421326E-3,-1.588535309E-2,2.611820338E-2
4.697682900E-1,-7.315129042E-4,5.832135677E-3,-1.501083374E-3,6.066479126E-3
4.746791240E-1,1.341732964E-2,1.071929932E-3,-1.482963562E-3,1.354152685E-2
4.795907900E-1,-3.365334123E-3,3.467261791E-3,8.007049561E-3,9.352016935E-3
4.845016240E-1,3.769993782E-3,-6.003141403E-3,-8.653640747E-3,1.118642293E-2
4.894115720E-1,-1.528168097E-2,1.206040382E-3,-1.092624664E-2,1.882464269E-2
4.943224570E-1,-1.281477883E-2,1.070725918E-2,-1.080799103E-2,1.989162200E-2
4.992341240E-1,-3.268640488E-3,-1.269102097E-3,-8.327484131E-3,9.035575395E-3
5.041449570E-1,-1.259902865E-2,2.010607719E-2,-1.060676575E-2,2.599025476E-2
5.090549050E-1,2.075604349E-2,-6.183981895E-3,1.349449158E-3,2.169967711E-2
5.139657900E-1,-2.211167663E-2,1.524549723E-2,-1.032829285E-3,2.687783781E-2
5.188774570E-1,6.545178592E-3,-8.568108082E-3,1.320075989E-2,1.704440966E-2
5.237882900E-1,4.107702523E-3,-1.332521439E-3,-8.260726929E-3,9.321397041E-3
5.286982380E-1,-1.964239776E-2,1.288372278E-2,-1.054954529E-2,2.575086422E-2
5.336091240E-1,1.136645302E-2,-1.565068960E-2,-9.613037109E-4,1.936658060E-2
5.385207900E-1,-5.400650203E-3,1.061999798E-2,3.792762756E-3,1.250345668E-2
5.434316240E-1,-1.027301699E-2,1.292854548E-2,-1.283931732E-2,2.091722342E-2
5.483415720E-1,6.359525025E-3,8.102416992E-3,-1.271533966E-2,1.636375820E-2
5.532524570E-1,-5.622416735E-3,-6.163418293E-3,-3.108024597E-3,8.902758667E-3
5.581641240E-1,-1.037771255E-2,-2.509886026E-2,1.664161682E-3,2.721064384E-2
5.630749570E-1,-1.497570425E-2,6.008505821E-3,-1.258087158E-2,2.046099191E-2
5.679849050E-1,-6.735250354E-4,-1.181900501E-3,4.137992859E-3,4.355859234E-3
5.728957900E-1,-6.728954613E-4,-1.299321651E-2,-7.759094238E-3,1.514859753E-2
5.778074570E-1,-5.417380482E-3,1.339793205E-3,4.173278809E-3,6.968451272E-3
5.827182900E-1,-5.433429033E-3,-5.750715733E-3,-6.084442139E-4,7.934928283E-3
5.876282380E-1,1.596536487E-2,3.831446171E-3,1.773834229E-3,1.651421640E-2
5.925391240E-1,-7.907524705E-3,1.464188099E-3,-1.247787476E-2,1.484486956E-2
5.974507900E-1,6.395414472E-3,-1.274859905E-2,-2.874374390E-3,1.454957498E-2
6.023616240E-1,6.338410079E-3,-1.497274637E-2,-5.219459534E-3,1.707633843E-2
6.072715720E-1,-9.011104703E-4,1.810312271E-3,-2.799987793E-3,3.453861931E-3
6.121824570E-1,-1.282695681E-2,8.897066116E-3,-9.899139404E-3,1.848463057E-2
6.170941240E-1,3.834221512E-3,1.117706299E-2,-9.818077087E-3,1.536302800E-2
6.220049570E-1,-8.073966950E-3,1.106464863E-2,-7.363319397E-3,1.555100846E-2
6.269149050E-1,1.092568040E-2,1.515269279E-3,-2.552032471E-3,1.132163429E-2
6.318257900E-1,-1.041613519E-3,-5.580127239E-3,6.969451904E-3,8.988661668E-3
6.367374050E-1,-1.097403467E-3,1.349920034E-2,4.539489746E-3,1.428424557E-2
6.416482900E-1,-1.296447590E-2,-8.184909821E-4,6.877899170E-3,1.469874348E-2
6.465582380E-1,1.087953523E-2,1.347285509E-2,-7.422447205E-3,1.884077582E-2
6.514691240E-1,1.290392131E-3,1.340001822E-2,-1.210498810E-2,1.810404200E-2
6.563807900E-1,-1.534488425E-2,-1.753592491E-2,-2.505302429E-3,2.343609770E-2
6.612916240E-1,-1.047058031E-2,1.583933830E-3,-2.485275269E-3,1.087743037E-2
6.662015720E-1,-1.038519666E-2,6.299495697E-3,-1.196193695E-2,1.704769460E-2
6.711124570E-1,-5.555860698E-3,6.286680698E-3,-7.111549377E-3,1.099836701E-2
6.760241240E-1,-8.257366717E-4,1.466751099E-3,9.565353394E-3,9.712321318E-3
6.809349050E-1,-5.631595850E-3,-1.512485743E-2,-1.425361633E-2,2.153234224E-2
6.858449050E-1,-8.023250848E-3,8.782267570E-3,-2.262115479E-3,1.210858969E-2
6.907557900E-1,-8.394569159E-4,1.626372337E-3,-1.411151886E-2,1.422971326E-2
6.956674570E-1,-5.645215511E-3,-7.216334343E-4,-6.869316101E-3,8.920578270E-3
7.005782900E-1,-8.033137769E-3,8.820295334E-3,-2.342987061E-2,2.629235153E-2
7.054882380E-1,3.840103745E-3,8.727550507E-3,-6.617546082E-3,1.160639698E-2
7.103991240E-1,-3.378797323E-3,8.694469929E-3,-8.934020996E-3,1.291614532E-2
7.153107900E-1,-1.053753868E-2,1.539289951E-3,-8.857727051E-3,1.385165923E-2
7.202216240E-1,-3.391738981E-3,6.314396858E-3,-8.782386780E-3,1.133604069E-2
7.251315720E-1,1.550633088E-2,1.553177834E-3,7.886886597E-4,1.560386774E-2
7.300424570E-1,3.386601806E-3,-3.168642521E-3,-6.338119507E-3,7.853733259E-3
7.349540720E-1,-6.199039519E-3,-1.265829802E-2,-1.103496552E-2,1.790058836E-2
7.398649570E-1,-1.096012071E-2,-5.390703678E-3,-8.567810059E-3,1.491949400E-2
7.447749050E-1,3.370594233E-3,-2.932012081E-3,1.002311707E-3,4.578452696E-3
7.496857900E-1,-3.844391555E-3,1.939356327E-3,-6.122589111E-3,7.485088297E-3
7.545974570E-1,9.304322302E-4,1.962840557E-3,-1.319122314E-2,1.336887487E-2
7.595082900E-1,3.232389688E-3,2.092039585E-2,1.161575317E-3,2.120048497E-2
7.644182380E-1,-1.551974565E-3,1.674950123E-3,-1.226425171E-3,2.591949394E-3
7.693291240E-1,7.706545293E-4,6.389975548E-3,-1.217842102E-3,6.550483592E-3
7.742407900E-1,-1.117094979E-2,-3.061175346E-3,-5.950927734E-3,1.302207566E-2
7.791516240E-1,-1.642100513E-3,4.067301750E-3,-2.252292633E-2,2.294605953E-2
7.840615720E-1,-8.815284818E-3,1.640021801E-3,-1.758766174E-2,1.974144786E-2
7.889724570E-1,-1.118041575E-2,8.788406849E-3,-3.194808960E-3,1.457547926E-2
7.938841240E-1,-8.773926646E-3,4.006326199E-3,-1.028823853E-2,1.410249235E-2
7.987949570E-1,7.938928902E-4,-5.543112755E-3,1.666069031E-3,5.842272755E-3
8.037049050E-1,-3.962881863E-3,-1.020580530E-2,1.352691650E-2,1.740230917E-2
8.086157900E-1,-2.066864446E-2,1.128602028E-2,-7.951736450E-3,2.485552715E-2
8.135274570E-1,-3.941837698E-3,1.117271185E-2,-7.886886597E-3,1.423272829E-2
8.184382900E-1,3.149013966E-3,8.686125278E-3,-1.019668579E-2,1.375999500E-2
8.233482380E-1,-8.812393993E-3,1.340174675E-2,-1.010990143E-2,1.895983151E-2
8.282591240E-1,-8.748080581E-3,-3.347992897E-3,-2.902030945E-2,3.049452952E-2
8.331707900E-1,-3.932386637E-3,-5.654573441E-3,-1.453018188E-2,1.607992696E-2
8.380816240E-1,-1.102754474E-2,-7.941961288E-3,-7.284164429E-3,1.541883729E-2
8.429916240E-1,7.993094623E-3,-7.836103439E-3,-7.221221924E-3,1.332066533E-2
8.479025090E-1,7.985383272E-4,-7.790088654E-3,-1.665782928E-2,1.840669501E-2
8.528141240E-1,-1.826210320E-2,-5.043148994E-4,-7.017135620E-3,1.957035869E-2
8.577249570E-1,-8.615195751E-3,6.602764130E-3,-2.211570740E-3,1.107741563E-2
8.626349570E-1,5.754910409E-3,1.780211926E-3,-2.118778229E-2,2.202748889E-2
8.675458420E-1,-8.543428034E-3,6.553292274E-3,-2.338218689E-2,2.574223118E-2
8.724574570E-1,-1.328133419E-2,-7.706761360E-3,-4.192352295E-3,1.591740639E-2
8.773682900E-1,3.383930773E-3,6.642043591E-3,-4.155158997E-3,8.534229714E-3
8.822782900E-1,-1.456998289E-3,9.000480175E-3,-6.492614746E-3,1.119310206E-2
8.871891760E-1,-1.100587100E-2,-1.240211725E-2,-1.830673218E-2,2.469976016E-2
8.921007900E-1,1.513338834E-2,-7.510602474E-3,-1.103115082E-2,2.017708801E-2
8.970116240E-1,6.979480386E-4,-7.349431515E-3,5.686759949E-3,9.318825772E-3
9.019216240E-1,1.255738735E-2,-4.933238029E-3,-1.098155975E-2,1.739596129E-2
9.068325090E-1,-8.979018778E-3,-4.852473736E-3,9.822845459E-4,1.025349514E-2
9.117441240E-1,-1.603214070E-2,9.472489357E-3,9.765625000E-4,1.864701757E-2
9.166549570E-1,5.522225052E-3,4.626035690E-3,-6.155014038E-3,9.475197810E-3
9.215649570E-1,-4.084810615E-3,4.686057568E-3,-8.471488953E-3,1.050766094E-2
9.264758420E-1,-1.824221388E-2,2.312541008E-3,-2.264308929E-2,2.916908819E-2
9.313874570E-1,-1.535613090E-3,1.414471865E-2,-1.295948029E-2,1.924524103E-2
9.362982900E-1,-4.020325840E-3,1.400756836E-2,-3.356933594E-3,1.495473150E-2
9.412082900E-1,6.970465183E-4,-1.224404573E-2,-5.704879761E-3,1.352583391E-2
9.461191760E-1,3.004595637E-3,-2.318024635E-4,-1.990127563E-2,2.012814197E-2
9.510307900E-1,-6.640415639E-3,-7.371664047E-3,-1.024055481E-2,1.425852424E-2
9.559416240E-1,1.471781731E-2,-4.896402359E-3,-1.015377045E-2,1.853882296E-2
9.608516240E-1,-6.781287491E-3,-6.741285324E-5,-2.943992615E-3,7.393070881E-3
9.657625090E-1,-4.415065050E-3,4.721045494E-3,-1.004028320E-2,1.194103667E-2
9.706741760E-1,-9.190998971E-3,2.288281918E-3,-9.958267212E-3,1.374328134E-2
9.755849570E-1,-1.392712444E-2,-7.246673107E-3,-3.124427795E-2,3.496689822E-2
9.804949570E-1,-1.150133833E-2,2.291083336E-3,-1.911640167E-2,2.242691818E-2
